,nature,type,id,description,cwe_counts
0,CanFollow,base,1257,Improper Access Control Applied to Mirrored or Aliased Memory Regions,37
1,CanFollow,base,1260,Improper Handling of Overlap Between Protected Memory Ranges,37
2,CanFollow,base,1265,Unintended Reentrant Invocation of Non-reentrant Code Via Nested Calls,87
3,CanFollow,base,1272,Sensitive Information Uncleared Before Debug/Power State Transition,125
4,CanFollow,base,128,Wrap-around Error,37
5,CanFollow,base,1282,Assumed-Immutable Data is Stored in Writable Memory,3
6,CanFollow,base,1284,Improper Validation of Specified Quantity in Input,4
7,CanFollow,base,131,Incorrect Calculation of Buffer Size,37
8,CanFollow,base,1322,"Use of Blocking Code in Single-threaded, Non-blocking Context",26
9,CanFollow,base,1325,Improperly Controlled Sequential Memory Allocation,364
10,CanFollow,base,1339,Insufficient Precision or Accuracy of a Real Number,37
11,CanFollow,base,170,Improper Null Termination,109
12,CanFollow,base,183,Permissive List of Allowed Inputs,16
13,CanFollow,base,184,Incomplete List of Disallowed Inputs,171
14,CanFollow,base,190,Integer Overflow or Wraparound,37
15,CanFollow,base,193,Off-by-one Error,531
16,CanFollow,base,208,Observable Timing Discrepancy,29
17,CanFollow,base,212,Improper Removal of Sensitive Information Before Storage or Transfer,1
18,CanFollow,base,226,Sensitive Information in Resource Not Removed Before Reuse,1
19,CanFollow,base,252,Unchecked Return Value,364
20,CanFollow,base,364,Signal Handler Race Condition,101
21,CanFollow,base,390,Detection of Error Condition Without Action,16
22,CanFollow,base,410,Insufficient Resource Pool,250
23,CanFollow,base,425,Direct Request ('Forced Browsing'),3
24,CanFollow,base,489,Active Debug Code,8
25,CanFollow,base,609,Double-Checked Locking,12
26,CanFollow,base,613,Insufficient Session Expiration,2
27,CanFollow,base,681,Incorrect Conversion between Numeric Types,7
28,CanFollow,base,73,External Control of File Name or Path,209
29,CanFollow,base,756,Missing Custom Error Page,81
30,CanFollow,base,79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),4
31,CanFollow,base,822,Untrusted Pointer Dereference,612
32,CanFollow,base,823,Use of Out-of-range Pointer Offset,612
33,CanFollow,base,824,Access of Uninitialized Pointer,612
34,CanFollow,base,825,Expired Pointer Dereference,612
35,CanFollow,base,839,Numeric Range Comparison Without Minimum Check,44
36,CanFollow,base,843,Access of Resource Using Incompatible Type ('Type Confusion'),37
37,CanFollow,base,93,Improper Neutralization of CRLF Sequences ('CRLF Injection'),6
38,CanFollow,class,116,Improper Encoding or Escaping of Output,30
39,CanFollow,class,172,Encoding Error,193
40,CanFollow,class,20,Improper Input Validation,334
41,CanFollow,class,340,Generation of Predictable Numbers or Identifiers,1
42,CanFollow,class,362,Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition'),451
43,CanFollow,class,441,Unintended Proxy or Intermediary ('Confused Deputy'),14
44,CanFollow,class,602,Client-Side Enforcement of Server-Side Security,3
45,CanFollow,class,662,Improper Synchronization,10
46,CanFollow,class,754,Improper Check for Unusual or Exceptional Conditions,87
47,CanFollow,class,909,Missing Initialization of Resource,43
48,CanFollow,variant,113,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Request/Response Splitting'),130
49,CanFollow,variant,1275,Sensitive Cookie with Improper SameSite Attribute,27
50,CanFollow,variant,129,Improper Validation of Array Index,41
51,CanFollow,variant,1321,Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution'),3
52,CanFollow,variant,195,Signed to Unsigned Conversion Error,37
53,CanFollow,variant,231,Improper Handling of Extra Values,109
54,CanFollow,variant,244,Improper Clearing of Heap Memory Before Release ('Heap Inspection'),35
55,CanFollow,variant,416,Use After Free,109
56,CanFollow,variant,456,Missing Initialization of a Variable,122
57,CanFollow,variant,481,Assigning instead of Comparing,66
58,CanFollow,variant,498,Cloneable Class Containing Sensitive Information,125
59,CanFollow,variant,499,Serializable Class Containing Sensitive Data,125
60,CanFollow,variant,600,Uncaught Exception in Servlet,81
61,CanFollow,variant,621,Variable Extraction Error,3
62,CanFollow,variant,789,Memory Allocation with Excessive Size Value,364
63,CanFollow,variant,942,Permissive Cross-domain Policy with Untrusted Domains,14
64,CanFollow,variant,98,Improper Control of Filename for Include/Require Statement in PHP Program ('PHP Remote File Inclusion'),97
65,CanPrecede,base,117,Improper Output Neutralization for Logs,1
66,CanPrecede,base,120,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),87
67,CanPrecede,base,123,Write-what-where Condition,200
68,CanPrecede,base,125,Out-of-bounds Read,71
69,CanPrecede,base,170,Improper Null Termination,13
70,CanPrecede,base,182,Collapse of Data into Unsafe Value,2
71,CanPrecede,base,215,Insertion of Sensitive Information Into Debugging Code,8
72,CanPrecede,base,22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),599
73,CanPrecede,base,289,Authentication Bypass by Alternate Name,6
74,CanPrecede,base,385,Covert Timing Channel,13
75,CanPrecede,base,41,Improper Resolution of Path Equivalence,599
76,CanPrecede,base,434,Unrestricted Upload of File with Dangerous Type,46
77,CanPrecede,base,471,Modification of Assumed-Immutable Data (MAID),2
78,CanPrecede,base,476,NULL Pointer Dereference,20
79,CanPrecede,base,494,Download of Code Without Integrity Check,130
80,CanPrecede,base,59,Improper Link Resolution Before File Access ('Link Following'),46
81,CanPrecede,base,617,Reachable Assertion,6
82,CanPrecede,base,770,Allocation of Resources Without Limits or Throttling,553
83,CanPrecede,base,787,Out-of-bounds Write,71
84,CanPrecede,class,119,Improper Restriction of Operations within the Bounds of a Memory Buffer,891
85,CanPrecede,class,327,Use of a Broken or Risky Cryptographic Algorithm,13
86,CanPrecede,class,362,Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition'),7
87,CanPrecede,class,74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),572
88,CanPrecede,composite,352,Cross-Site Request Forgery (CSRF),10
89,CanPrecede,pillar,682,Incorrect Calculation,33
90,CanPrecede,variant,187,Partial String Comparison,2
91,CanPrecede,variant,416,Use After Free,68
92,CanPrecede,variant,789,Memory Allocation with Excessive Size Value,52
93,CanPrecede,variant,98,Improper Control of Filename for Include/Require Statement in PHP Program ('PHP Remote File Inclusion'),48
94,ChildOf,base,1341,Multiple Releases of Same Resource or Handle,14
95,ChildOf,base,190,Integer Overflow or Wraparound,16
96,ChildOf,base,201,Insertion of Sensitive Information Into Sent Data,4
97,ChildOf,base,203,Observable Discrepancy,14
98,ChildOf,base,22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),294
99,ChildOf,base,23,Relative Path Traversal,37
100,ChildOf,base,288,Authentication Bypass Using an Alternate Path or Channel,2
101,ChildOf,base,312,Cleartext Storage of Sensitive Information,19
102,ChildOf,base,319,Cleartext Transmission of Sensitive Information,10
103,ChildOf,base,328,Use of Weak Hash,13
104,ChildOf,base,524,Use of Cache Containing Sensitive Information,2
105,ChildOf,base,538,Insertion of Sensitive Information into Externally-Accessible File or Directory,144
106,ChildOf,base,552,Files or Directories Accessible to External Parties,14
107,ChildOf,base,59,Improper Link Resolution Before File Access ('Link Following'),10
108,ChildOf,base,681,Incorrect Conversion between Numeric Types,6
109,ChildOf,base,770,Allocation of Resources Without Limits or Throttling,4
110,ChildOf,base,772,Missing Release of Resource after Effective Lifetime,16
111,ChildOf,base,787,Out-of-bounds Write,92
112,ChildOf,base,788,Access of Memory Location After End of Buffer,92
113,ChildOf,base,79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),5
114,ChildOf,base,825,Expired Pointer Dereference,101
115,ChildOf,base,94,Improper Control of Generation of Code ('Code Injection'),21
116,ChildOf,class,116,Improper Encoding or Escaping of Output,6
117,ChildOf,class,1177,Use of Prohibited Code,16
118,ChildOf,class,118,Incorrect Access of Indexable Resource ('Range Error'),37
119,ChildOf,class,119,Improper Restriction of Operations within the Bounds of a Memory Buffer,3168
120,ChildOf,class,138,Improper Neutralization of Special Elements,41
121,ChildOf,class,1390,Weak Authentication,3
122,ChildOf,class,172,Encoding Error,6
123,ChildOf,class,185,Incorrect Regular Expression,2
124,ChildOf,class,20,Improper Input Validation,538
125,ChildOf,class,200,Exposure of Sensitive Information to an Unauthorized Actor,580
126,ChildOf,class,228,Improper Handling of Syntactically Invalid Structure,5
127,ChildOf,class,269,Improper Privilege Management,8
128,ChildOf,class,285,Improper Authorization,7
129,ChildOf,class,287,Improper Authentication,21
130,ChildOf,class,311,Missing Encryption of Sensitive Data,314
131,ChildOf,class,326,Inadequate Encryption Strength,12
132,ChildOf,class,327,Use of a Broken or Risky Cryptographic Algorithm,25
133,ChildOf,class,330,Use of Insufficiently Random Values,2
134,ChildOf,class,345,Insufficient Verification of Data Authenticity,90
135,ChildOf,class,362,Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition'),24
136,ChildOf,class,400,Uncontrolled Resource Consumption,148
137,ChildOf,class,404,Improper Resource Shutdown or Release,36
138,ChildOf,class,405,Asymmetric Resource Consumption (Amplification),8
139,ChildOf,class,407,Inefficient Algorithmic Complexity,210
140,ChildOf,class,424,Improper Protection of Alternate Path,2
141,ChildOf,class,436,Interpretation Conflict,52
142,ChildOf,class,441,Unintended Proxy or Intermediary ('Confused Deputy'),34
143,ChildOf,class,514,Covert Channel,2
144,ChildOf,class,573,Improper Following of Specification by Caller,15
145,ChildOf,class,610,Externally Controlled Reference to a Resource in Another Sphere,156
146,ChildOf,class,642,External Control of Critical State Data,56
147,ChildOf,class,657,Violation of Secure Design Principles,8
148,ChildOf,class,662,Improper Synchronization,28
149,ChildOf,class,665,Improper Initialization,160
150,ChildOf,class,666,Operation on Resource in Wrong Phase of Lifetime,14
151,ChildOf,class,668,Exposure of Resource to Wrong Sphere,399
152,ChildOf,class,669,Incorrect Resource Transfer Between Spheres,40
153,ChildOf,class,670,Always-Incorrect Control Flow Implementation,988
154,ChildOf,class,672,Operation on a Resource after Expiration or Release,303
155,ChildOf,class,673,External Influence of Sphere Definition,10
156,ChildOf,class,684,Incorrect Provision of Specified Functionality,4
157,ChildOf,class,704,Incorrect Type Conversion or Cast,154
158,ChildOf,class,705,Incorrect Control Flow Scoping,1
159,ChildOf,class,706,Use of Incorrectly-Resolved Name or Reference,386
160,ChildOf,class,732,Incorrect Permission Assignment for Critical Resource,32
161,ChildOf,class,74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),694
162,ChildOf,class,754,Improper Check for Unusual or Exceptional Conditions,748
163,ChildOf,class,755,Improper Handling of Exceptional Conditions,82
164,ChildOf,class,77,Improper Neutralization of Special Elements used in a Command ('Command Injection'),75
165,ChildOf,class,799,Improper Control of Interaction Frequency,1
166,ChildOf,class,834,Excessive Iteration,75
167,ChildOf,class,862,Missing Authorization,4
168,ChildOf,class,913,Improper Control of Dynamically-Managed Code Resources,531
169,ChildOf,class,922,Insecure Storage of Sensitive Information,213
170,ChildOf,class,923,Improper Restriction of Communication Channel to Intended Endpoints,21
171,ChildOf,class,943,Improper Neutralization of Special Elements in Data Query Logic,13
172,ChildOf,pillar,284,Improper Access Control,45
173,ChildOf,pillar,664,Improper Control of a Resource Through its Lifetime,409
174,ChildOf,pillar,682,Incorrect Calculation,1664
175,ChildOf,pillar,691,Insufficient Control Flow Management,84
176,ChildOf,pillar,693,Protection Mechanism Failure,100
177,ChildOf,pillar,697,Incorrect Comparison,2
178,ChildOf,pillar,703,Improper Check or Handling of Exceptional Conditions,72
179,ChildOf,pillar,707,Improper Neutralization,602
180,ChildOf,pillar,710,Improper Adherence to Coding Standards,372
181,MemberOf,category,1001,SFP Secondary Cluster: Use of an Improper API,514
182,MemberOf,category,1002,SFP Secondary Cluster: Unexpected Entry Points,8
183,MemberOf,category,1005,7PK - Input Validation and Representation,805
184,MemberOf,category,1006,Bad Coding Practices,8
185,MemberOf,category,1009,Audit,150
186,MemberOf,category,1010,Authenticate Actors,18
187,MemberOf,category,1011,Authorize Actors,428
188,MemberOf,category,1012,Cross Cutting,71
189,MemberOf,category,1013,Encrypt Data,278
190,MemberOf,category,1014,Identify Actors,84
191,MemberOf,category,1015,Limit Access,141
192,MemberOf,category,1018,Manage User Sessions,1
193,MemberOf,category,1019,Validate Inputs,1320
194,MemberOf,category,1020,Verify Message Integrity,24
195,MemberOf,category,1027,OWASP Top Ten 2017 Category A1 - Injection,102
196,MemberOf,category,1028,OWASP Top Ten 2017 Category A2 - Broken Authentication,5
197,MemberOf,category,1029,OWASP Top Ten 2017 Category A3 - Sensitive Data Exposure,364
198,MemberOf,category,1030,OWASP Top Ten 2017 Category A4 - XML External Entities (XXE),4
199,MemberOf,category,1031,OWASP Top Ten 2017 Category A5 - Broken Access Control,221
200,MemberOf,category,1032,OWASP Top Ten 2017 Category A6 - Security Misconfiguration,81
201,MemberOf,category,1033,OWASP Top Ten 2017 Category A7 - Cross-Site Scripting (XSS),130
202,MemberOf,category,1034,OWASP Top Ten 2017 Category A8 - Insecure Deserialization,216
203,MemberOf,category,1129,CISQ Quality Measures (2016) - Reliability,156
204,MemberOf,category,1131,CISQ Quality Measures (2016) - Security,638
205,MemberOf,category,1134,SEI CERT Oracle Secure Coding Standard for Java - Guidelines 00. Input Validation and Data Sanitization (IDS),103
206,MemberOf,category,1135,SEI CERT Oracle Secure Coding Standard for Java - Guidelines 01. Declarations and Initialization (DCL),23
207,MemberOf,category,1136,SEI CERT Oracle Secure Coding Standard for Java - Guidelines 02. Expressions (EXP),370
208,MemberOf,category,1137,SEI CERT Oracle Secure Coding Standard for Java - Guidelines 03. Numeric Types and Operations (NUM),517
209,MemberOf,category,1140,SEI CERT Oracle Secure Coding Standard for Java - Guidelines 06. Methods (MET),560
210,MemberOf,category,1141,SEI CERT Oracle Secure Coding Standard for Java - Guidelines 07. Exceptional Behavior (ERR),61
211,MemberOf,category,1142,SEI CERT Oracle Secure Coding Standard for Java - Guidelines 08. Visibility and Atomicity (VNA),24
212,MemberOf,category,1143,SEI CERT Oracle Secure Coding Standard for Java - Guidelines 09. Locking (LCK),7
213,MemberOf,category,1147,SEI CERT Oracle Secure Coding Standard for Java - Guidelines 13. Input Output (FIO),442
214,MemberOf,category,1148,SEI CERT Oracle Secure Coding Standard for Java - Guidelines 14. Serialization (SER),540
215,MemberOf,category,1152,SEI CERT Oracle Secure Coding Standard for Java - Guidelines 49. Miscellaneous (MSC),371
216,MemberOf,category,1157,SEI CERT C Coding Standard - Guidelines 03. Expressions (EXP),871
217,MemberOf,category,1158,SEI CERT C Coding Standard - Guidelines 04. Integers (INT),611
218,MemberOf,category,1159,SEI CERT C Coding Standard - Guidelines 05. Floating Point (FLP),42
219,MemberOf,category,1160,SEI CERT C Coding Standard - Guidelines 06. Arrays (ARR),402
220,MemberOf,category,1161,SEI CERT C Coding Standard - Guidelines 07. Characters and Strings (STR),637
221,MemberOf,category,1162,SEI CERT C Coding Standard - Guidelines 08. Memory Management (MEM),427
222,MemberOf,category,1163,SEI CERT C Coding Standard - Guidelines 09. Input Output (FIO),561
223,MemberOf,category,1165,SEI CERT C Coding Standard - Guidelines 10. Environment (ENV),41
224,MemberOf,category,1166,SEI CERT C Coding Standard - Guidelines 11. Signals (SIG),7
225,MemberOf,category,1167,SEI CERT C Coding Standard - Guidelines 12. Error Handling (ERR),22
226,MemberOf,category,1169,SEI CERT C Coding Standard - Guidelines 14. Concurrency (CON),76
