repo,ecosystem_manager,action,status,detail
aim,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
alibi-detect,none,none-needed,ok,no Python dependency manifest found in repo root
alibi,none,none-needed,ok,no Python dependency manifest found in repo root
altair,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
annoy,none,none-needed,ok,no Python dependency manifest found in repo root
Auto_ViML,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
autogluon,uv,none-needed,ok,uv.lock already present
AutoViz,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
backprop,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
bayeso,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
BayesPy,none,uv init + import-scan,fixed,"pyproject.toml + uv.lock generated from imports scanned across .py files (numpy, pandas, scipy, Cython), pushed to anonymized-for-blind-review/BayesPy"
bentoml,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
bigartm,none,none-needed,ok,no Python dependency manifest found in repo root
BioPy,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
blaze,none,none-needed,ok,no Python dependency manifest found in repo root
bokeh,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
bolt,none,none-needed,ok,no Python dependency manifest found in repo root
bowtie,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
bqplot,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
breze,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
bytehub,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
caffe,none,none-needed,ok,no Python dependency manifest found in repo root
catalyst,pyproject-other,poetry init + poetry lock,fixed,"generated from requirements/; also fixed a malformed version specifier in requirements-cv.txt blocking pip scan; Dependabot Updates itself still fails on torch-xla/poetry-core (upstream quirk), but Dependency Graph succeeded"
catboost,none,none-needed,ok,no Python dependency manifest found in repo root
chainer,none,none-needed,ok,no Python dependency manifest found in repo root
chefboost,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
chemicalx,pyproject-other,poetry init + poetry lock,fixed,"generated, dropped torchdrug (no version compatible with the rest of the stack); Dependency Graph succeeded, Dependabot Updates job fails separately (upstream issue)"
cleanlab,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
climin,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
cltk,uv,none-needed,ok,uv.lock already present
colibri-core,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
ColossalAI,none,none-needed,ok,no Python dependency manifest found in repo root
comet-llm,none,none-needed,ok,no Python dependency manifest found in repo root
CompreFace,none,none-needed,ok,no Python dependency manifest found in repo root
convnet-benchmarks,none,uv init + import-scan,failed,nervanagpu (imported by several benchmark scripts) is a dead package no longer published on PyPI; not fixable without inventing a fork of it
CoreNLP,java,none-needed,n/a,"Java project (pom.xml/build.gradle) -- kept in the corpus alongside dasmith/stanford-corenlp-python since other non-Python entries were also found and retained; this study's CVE/CWE analysis is scoped to the Python ecosystem only, so no Python findings are expected here"
cornac,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
cortex,none,none-needed,ok,no Python dependency manifest found in repo root
couler,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
crab,none,none-needed,ok,no Python dependency manifest found in repo root
d3py,none,none-needed,ok,no Python dependency manifest found in repo root
danswerai,none,codeql default-setup fix,fixed,"CodeQL was failing due to GitHub default-setup conflict; disabled default-setup, retried, succeeded. Dependabot/Semgrep already ok"
dash,none,branch-mismatch fix,fixed,"CI files existed only on master, not the actual default branch dev; restored codeql.yml/semgrep.yml/dependabot.yml on dev directly, pushed, triggered"
datacompy,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
deap,none,none-needed,ok,no Python dependency manifest found in repo root
dedupe,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
deep-learning-project-template,requirements.txt,poetry init + poetry lock,fixed,"generated from root requirements.txt, pushed"
deepchecks,none,none-needed,ok,no Python dependency manifest found in repo root
deepface,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
deeplake,none,none-needed,ok,no Python dependency manifest found in repo root
DeepPavlov,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
deeppy,requirements.txt,poetry init + poetry lock,fixed,"generated; relaxed numpy pin to resolve for requires-python >=3.10,<3.13"
detecto,requirements.txt,poetry init + poetry lock,fixed,generated; bumped requires-python floor to 3.11 for matplotlib/pandas
detectron2,none,poetry init + poetry lock,fixed,generated from docs/requirements.txt; resolved several version conflicts by bumping requires-python floor to 3.12
determined,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
DI-engine,none,none-needed,ok,no Python dependency manifest found in repo root
DIGITS,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
dirty_cat,pyproject-other,poetry init + poetry lock,fixed,generated from .binder/requirements.txt; dropped self-referential dirty-cat dep; bumped python floor to 3.11
